Custody,Sentence_Length,Gender,Age_Cont,Ethnicity,Offence,Prev_Convictions,GP_first,AF_Injury,AF_Vuln_Victim,AF_Rep_Assault,AF_Weapon,MF_Remorse,MF_Good_Char
1,89,Male,22,0,Affray,None,1,0,0,0,0,0,1
1,85,Male,31,0,Harassment,4 to 9,0,0,0,0,0,0,0
1,79,Male,33,1,Assault,None,0,0,1,1,1,0,0
1,284,Male,29,0,Intent,None,0,0,0,1,1,0,0
0,NA,Female,37,0,Affray,None,1,0,0,1,1,1,1
0,NA,Male,19,0,GBH,None,1,1,0,0,0,1,0
1,223,Male,19,0,Intent,None,0,0,0,1,1,0,0
0,NA,Male,41,0,Assault,None,0,0,0,0,0,1,1
0,NA,Male,58,0,Harassment,None,1,0,0,0,0,0,0
0,NA,Male,24,0,Affray,None,1,0,0,0,1,1,1
1,109,Female,32,0,Affray,1 to 3,0,0,1,0,1,0,0
0,NA,Male,18,0,GBH,None,0,0,0,0,0,1,1
0,NA,Male,18,1,Affray,None,1,0,0,1,0,1,1
1,88,Male,23,1,GBH,4 to 9,1,0,0,0,0,0,0
1,84,Male,19,0,Affray,None,1,0,0,1,1,1,1
1,144,Male,23,0,GBH,1 to 3,1,0,0,1,1,0,0
1,253,Male,33,0,Intent,4 to 9,0,1,0,0,1,1,0
0,NA,Male,18,1,Affray,None,1,1,0,0,0,1,1
1,251,Male,30,0,Intent,None,0,0,0,1,0,0,0
0,NA,Male,19,1,Assault,1 to 3,1,0,0,0,0,0,0
0,NA,Male,52,0,Affray,None,0,0,0,0,0,0,1
0,NA,Male,29,1,Affray,None,1,1,1,0,1,0,0
0,NA,Female,23,0,Assault,None,1,0,0,0,1,0,0
1,252,Male,23,0,Intent,None,0,0,0,1,1,0,0
0,NA,Male,33,0,Affray,4 to 9,1,1,0,0,0,0,0
0,NA,Male,35,1,Affray,None,0,0,0,0,1,0,0
0,NA,Male,22,1,Affray,None,1,0,0,0,0,1,0
0,NA,Male,22,0,Harassment,None,0,0,0,0,0,1,1
0,NA,Male,21,1,Harassment,None,0,0,0,0,0,1,0
0,NA,Male,56,0,Affray,None,0,0,0,0,0,0,1
0,NA,Male,27,0,Harassment,4 to 9,0,0,0,0,0,0,0
1,192,Male,33,0,GBH,1 to 3,0,1,1,0,1,1,0
1,31,Male,22,1,Affray,1 to 3,0,1,0,0,0,0,0
1,279,Male,59,1,Intent,1 to 3,0,1,0,0,1,0,0
0,NA,Male,21,0,GBH,None,1,0,0,0,1,1,1
1,82,Male,30,1,Affray,None,1,1,0,0,0,1,0
0,NA,Male,21,0,GBH,None,1,0,0,0,0,1,1
1,114,Male,48,0,Affray,None,0,0,0,0,0,0,0
1,59,Male,35,0,Affray,None,1,1,0,0,0,1,0
0,NA,Male,23,0,Affray,None,1,0,0,0,0,0,0
0,NA,Male,34,1,Assault,None,1,0,0,0,0,0,0
1,117,Male,43,0,GBH,None,1,0,1,0,1,0,0
0,NA,Male,22,1,Affray,None,1,0,0,0,0,0,0
1,54,Male,40,0,Affray,None,0,0,0,0,0,0,0
0,NA,Male,22,0,GBH,None,0,1,0,0,0,1,1
0,NA,Male,48,0,Cruelty_Child,None,1,0,0,0,0,1,0
0,NA,Male,19,0,Affray,None,1,1,0,1,0,1,0
0,NA,Female,51,1,Cruelty_Child,None,1,0,0,0,0,1,0
0,NA,Male,26,0,Assault,4 to 9,1,0,0,0,0,1,0
1,112,Male,23,1,GBH,None,0,1,0,0,0,0,0
1,109,Female,42,1,Affray,1 to 3,0,0,0,0,1,0,0
0,NA,Female,44,0,Affray,1 to 3,0,0,0,0,1,0,0
0,NA,Male,24,1,Affray,None,1,1,0,1,1,1,0
1,139,Male,44,0,Affray,4 to 9,0,1,0,1,1,0,0
1,139,Male,21,0,Assault,4 to 9,1,0,0,0,1,0,0
1,165,Male,20,1,GBH,4 to 9,1,0,0,1,1,0,0
1,135,Male,29,1,Affray,None,0,1,1,1,0,0,0
1,168,Male,62,0,Affray,4 to 9,1,0,1,1,0,0,0
0,NA,Male,19,0,GBH,None,1,0,0,0,0,1,1
0,NA,Female,18,0,GBH,None,1,0,0,0,0,1,1
0,NA,Male,27,0,Harassment,1 to 3,1,0,0,0,0,0,0
0,NA,Male,25,0,Affray,1 to 3,0,0,0,0,0,0,0
0,NA,Male,49,1,Affray,None,0,0,0,0,1,0,1
0,NA,Male,38,0,Harassment,None,0,0,0,0,1,0,0
1,173,Male,27,1,Intent,None,1,0,0,0,0,1,0
1,228,Male,19,0,Intent,None,1,0,0,0,1,1,1
0,NA,Male,20,1,Affray,1 to 3,1,0,0,0,0,0,0
1,88,Male,25,1,Affray,1 to 3,0,0,0,1,1,0,0
0,NA,Male,28,0,Affray,None,0,0,0,1,0,0,0
0,NA,Male,44,0,Affray,None,0,0,0,0,1,0,0
1,80,Male,20,0,Affray,1 to 3,1,0,1,0,1,0,0
0,NA,Male,24,0,Affray,None,0,0,0,0,0,0,1
1,167,Male,24,0,Affray,None,1,1,0,0,1,1,1
0,NA,Male,44,0,Harassment,None,1,0,0,0,0,1,0
0,NA,Female,44,0,Cruelty_Child,None,0,0,0,0,0,1,0
0,NA,Male,21,1,Affray,None,1,0,0,1,0,0,1
1,168,Male,19,1,GBH,None,0,1,0,0,1,1,0
1,139,Male,32,0,Affray,None,0,0,0,0,1,0,0
0,NA,Male,24,1,Affray,None,1,0,0,0,0,0,0
0,NA,Male,19,0,Affray,4 to 9,1,0,0,0,0,0,0
0,NA,Male,20,0,Affray,None,1,0,0,0,0,1,1
0,NA,Male,20,1,Affray,None,1,0,0,0,0,1,1
0,NA,Female,46,0,Affray,None,1,0,0,0,0,1,1
0,NA,Male,21,1,GBH,None,1,1,0,0,0,1,1
0,NA,Male,20,0,Affray,None,1,0,0,0,0,0,0
1,278,Male,26,0,Intent,None,0,0,0,0,1,0,0
1,54,Male,43,0,Assault,1 to 3,0,1,0,0,0,0,0
0,NA,Male,24,0,Affray,None,1,0,0,1,0,1,1
0,NA,Male,42,0,Affray,None,0,0,0,1,1,1,0
0,NA,Male,19,0,GBH,None,1,1,0,0,1,0,0
0,NA,Male,19,0,GBH,None,1,1,0,0,0,1,1
0,NA,Male,21,0,Affray,None,0,1,0,0,0,1,1
0,NA,Male,18,0,Affray,None,0,0,0,1,0,0,1
0,NA,Male,20,0,GBH,None,0,0,0,0,0,1,1
0,NA,Male,20,0,GBH,None,1,0,0,0,1,0,1
0,NA,Male,24,0,GBH,None,1,0,0,0,0,1,1
0,NA,Male,18,1,Affray,None,0,0,0,0,0,1,1
0,NA,Female,24,0,Assault,None,1,0,0,0,0,0,0
0,NA,Male,30,0,Affray,None,0,0,0,0,0,1,1
0,NA,Female,24,0,Assault,None,0,0,0,0,0,1,1
0,NA,Male,29,0,Affray,None,1,0,0,1,1,1,1
0,NA,Female,54,0,Assault,None,1,0,0,1,0,1,1
1,165,Male,52,1,Affray,4 to 9,0,0,1,1,1,0,0
1,165,Male,34,0,GBH,4 to 9,1,1,0,0,0,0,0
0,NA,Male,28,0,Affray,None,1,0,0,0,0,0,0
0,NA,Male,20,0,Affray,None,1,0,0,1,1,1,1
0,NA,Female,19,0,Affray,1 to 3,0,0,0,1,1,1,1
1,145,Male,32,1,Affray,1 to 3,1,0,0,1,1,1,0
0,NA,Male,37,0,GBH,None,0,0,0,0,0,1,1
0,NA,Male,22,0,Affray,None,1,0,0,0,0,1,0
0,NA,Male,24,0,Affray,None,1,0,0,0,0,1,1
0,NA,Male,21,0,Affray,None,1,0,0,0,0,1,1
0,NA,Female,22,0,Affray,None,1,1,0,0,1,1,0
1,61,Male,23,0,Affray,None,0,0,0,1,0,1,0
1,51,Male,22,1,Affray,None,0,0,0,1,0,1,0
1,168,Male,40,1,Affray,1 to 3,0,0,1,1,0,0,0
0,NA,Male,23,1,Affray,None,0,1,0,0,0,0,0
0,NA,Male,37,0,GBH,None,1,0,0,0,0,1,1
0,NA,Male,21,1,Affray,None,1,0,0,0,1,0,0
0,NA,Male,20,0,Assault,None,1,0,0,0,0,0,0
0,NA,Male,28,0,Affray,None,1,0,0,0,0,1,0
0,NA,Male,50,1,GBH,None,1,0,0,0,1,1,1
1,163,Male,30,1,GBH,None,0,0,0,1,1,0,1
0,NA,Male,26,0,GBH,None,0,1,0,0,0,0,0
0,NA,Male,20,0,Affray,None,0,0,1,0,0,0,0
1,58,Male,20,0,Affray,4 to 9,0,0,0,0,0,0,0
0,NA,Female,22,0,Affray,None,1,0,0,0,0,1,1
1,86,Female,33,0,GBH,4 to 9,1,0,0,1,1,0,0
0,NA,Male,43,1,Affray,4 to 9,0,0,0,0,0,0,0
0,NA,Male,24,1,GBH,None,1,1,0,0,0,1,1
0,NA,Male,22,0,Affray,None,0,0,0,0,0,0,0
1,54,Female,25,1,Affray,1 to 3,1,0,0,1,0,0,0
1,142,Male,23,0,Affray,None,0,1,0,0,1,1,1
1,87,Male,18,1,GBH,None,1,1,0,0,0,1,1
1,254,Male,21,0,Intent,1 to 3,0,0,0,0,0,0,0
1,54,Male,37,0,Affray,1 to 3,1,0,0,0,1,0,0
0,NA,Female,29,1,Assault,None,1,1,0,0,1,1,0
0,NA,Male,19,0,Assault,None,1,0,0,0,0,1,1
1,279,Male,46,0,Intent,4 to 9,0,1,0,1,1,0,0
1,275,Male,19,0,Intent,None,0,1,0,1,1,0,0
1,283,Male,36,1,Intent,4 to 9,0,1,0,1,1,0,0
1,82,Male,32,1,Affray,None,0,0,0,0,0,1,0
0,NA,Male,19,0,GBH,None,0,0,0,1,0,1,1
0,NA,Male,23,0,GBH,None,0,0,0,1,0,1,1
0,NA,Male,21,0,GBH,None,0,0,0,1,0,1,1
0,NA,Male,22,0,GBH,None,0,0,0,0,0,0,1
0,NA,Male,21,0,Assault,None,0,0,0,0,0,1,0
0,NA,Male,23,0,Affray,1 to 3,1,0,0,0,0,0,0
0,NA,Male,23,0,Affray,1 to 3,1,0,0,0,0,0,0
1,60,Male,19,0,Affray,1 to 3,1,0,0,1,1,0,0
1,27,Female,22,1,Assault,1 to 3,1,0,0,0,0,0,0
1,79,Male,35,0,Affray,1 to 3,1,1,0,1,0,1,0
0,NA,Female,44,1,Assault,None,0,0,0,0,1,0,0
1,250,Female,31,0,Intent,None,0,0,0,0,1,0,0
0,NA,Male,21,1,GBH,None,0,1,0,0,0,1,1
0,NA,Male,32,0,Affray,None,1,0,0,0,1,1,1
1,278,Male,33,0,Intent,None,0,0,0,0,0,0,0
0,NA,Male,37,0,GBH,None,0,0,0,0,0,1,0
1,52,Male,39,1,Affray,None,1,0,0,0,1,1,0
0,NA,Female,21,1,Assault,1 to 3,1,0,0,0,0,0,0
1,84,Male,35,0,GBH,4 to 9,1,0,1,0,0,0,0
1,141,Male,34,0,Affray,4 to 9,0,0,0,0,1,0,0
0,NA,Male,36,0,Assault,None,0,1,0,0,0,0,0
1,172,Male,35,0,Affray,None,1,0,0,0,0,0,0
1,228,Male,21,0,Intent,None,0,0,0,0,1,1,0
0,NA,Female,29,0,Assault,1 to 3,1,0,0,0,0,1,0
1,86,Male,22,1,Affray,None,1,0,0,0,1,0,0
0,NA,Male,22,1,Assault,4 to 9,0,0,0,1,1,0,0
1,278,Male,34,0,Intent,None,0,1,0,0,1,1,0
0,NA,Male,39,0,GBH,None,0,0,0,0,1,0,1
0,NA,Male,42,0,Affray,None,0,0,0,0,0,0,1
1,199,Male,34,0,Intent,None,1,0,0,0,1,1,0
0,NA,Male,24,0,Affray,None,1,0,0,0,0,1,1
0,NA,Male,41,0,Assault,None,1,0,1,0,0,1,0
1,248,Male,19,0,Intent,None,0,1,0,1,1,1,1
1,252,Male,19,0,Intent,None,0,1,0,1,1,1,1
0,NA,Male,19,0,Affray,None,1,0,0,1,0,1,1
0,NA,Male,45,0,Affray,None,1,0,0,1,0,1,0
1,83,Male,40,1,Affray,None,0,0,0,1,0,1,1
0,NA,Female,30,0,Assault,None,0,0,0,0,0,0,0
1,60,Male,38,0,Assault,4 to 9,1,0,0,0,0,0,0
0,NA,Male,23,1,Affray,None,1,0,0,0,0,1,1
0,NA,Male,20,0,Affray,None,1,0,0,0,0,0,1
0,NA,Male,24,0,Harassment,None,0,0,0,0,0,0,1
0,NA,Male,24,0,Affray,None,1,0,0,0,0,1,0
0,NA,Male,24,1,Affray,None,1,0,0,0,0,1,1
0,NA,Female,27,0,Assault,1 to 3,1,0,0,0,0,0,0
1,171,Male,27,1,Affray,1 to 3,0,1,0,0,1,0,0
0,NA,Male,65,0,Assault,None,0,0,0,0,0,0,1
0,NA,Male,26,0,Affray,None,1,0,1,0,1,1,1
1,139,Male,51,0,Affray,4 to 9,0,0,0,1,1,0,0
0,NA,Male,42,0,Affray,None,0,0,0,0,0,0,1
1,197,Male,24,0,GBH,1 to 3,0,1,0,0,1,1,0
0,NA,Male,54,1,Cruelty_Child,None,1,0,0,0,0,1,1
1,226,Male,43,0,Affray,4 to 9,1,1,1,1,1,0,0
1,165,Male,32,1,Affray,1 to 3,1,1,1,0,1,0,0
1,26,Male,22,1,Assault,None,0,0,1,0,0,1,0
1,136,Male,33,1,GBH,4 to 9,1,1,0,0,0,0,0
1,88,Female,20,1,GBH,None,1,0,0,0,1,1,1
0,NA,Male,29,0,Affray,1 to 3,0,0,0,0,0,0,0
1,169,Male,19,1,Intent,None,0,1,0,0,1,0,0
1,164,Male,30,1,Affray,None,0,1,0,1,0,0,0
0,NA,Male,52,0,GBH,None,0,0,0,0,1,0,1
1,82,Female,28,1,Affray,4 to 9,1,0,0,0,1,0,0
0,NA,Female,18,0,GBH,None,1,0,0,0,0,1,1
1,113,Male,31,1,GBH,None,1,0,0,0,1,1,1
0,NA,Male,31,0,Affray,4 to 9,1,1,0,0,0,1,0
1,278,Male,36,1,Intent,4 to 9,0,0,0,0,1,0,0
1,164,Male,48,1,Affray,4 to 9,1,1,1,0,1,0,0
0,NA,Male,22,1,Affray,None,0,0,0,0,0,1,1
1,55,Male,40,1,Harassment,4 to 9,1,0,0,0,0,0,0
0,NA,Female,46,0,GBH,None,1,1,0,0,0,0,0
1,138,Male,32,1,GBH,None,0,1,0,1,1,1,0
0,NA,Male,33,0,Harassment,None,0,0,0,0,0,0,0
0,NA,Male,21,0,GBH,None,1,1,0,0,0,1,1
1,138,Male,22,0,Affray,None,1,1,0,0,0,0,0
0,NA,Female,51,1,Affray,None,0,0,0,0,0,0,0
1,51,Male,20,1,Affray,None,0,0,0,1,0,0,0
1,167,Male,24,0,GBH,4 to 9,0,1,0,0,1,0,0
1,163,Male,32,0,Affray,4 to 9,1,1,1,0,0,0,0
0,NA,Male,50,0,GBH,1 to 3,0,1,1,0,0,1,0
0,NA,Male,19,1,GBH,None,1,1,0,0,1,1,1
1,107,Male,20,0,GBH,None,0,0,0,1,0,0,0
1,58,Male,40,1,Affray,1 to 3,0,0,0,0,1,0,0
1,282,Male,26,0,Intent,None,1,0,0,1,1,0,0
1,56,Male,20,1,Affray,1 to 3,0,0,0,0,0,0,0
1,87,Male,38,1,Affray,1 to 3,0,1,0,0,0,0,0
1,52,Male,23,0,Affray,1 to 3,1,1,0,0,0,0,0
0,NA,Male,46,0,Affray,None,1,0,0,0,0,1,0
0,NA,Male,30,0,Cruelty_Child,None,0,1,1,1,0,1,1
0,NA,Male,23,0,Affray,None,0,0,0,0,0,0,0
0,NA,Male,49,1,Affray,None,0,0,0,0,0,0,0
0,NA,Male,34,0,Affray,None,0,0,0,0,0,0,0
0,NA,Male,21,0,Affray,None,0,0,0,0,0,0,0
0,NA,Male,23,0,Affray,None,0,0,0,0,0,0,0
0,NA,Male,23,0,Affray,None,0,1,0,1,0,0,0
1,166,Male,33,1,Affray,None,0,1,0,1,0,1,0
1,220,Male,18,0,Intent,None,0,0,0,1,0,0,0
1,79,Male,38,1,Harassment,1 to 3,1,0,0,0,0,0,0
1,56,Female,24,0,Assault,1 to 3,1,1,0,0,0,0,0
1,191,Male,34,0,Intent,1 to 3,0,1,0,0,0,0,0
1,85,Male,43,0,Assault,4 to 9,0,0,0,0,0,0,0
1,57,Female,20,1,Assault,4 to 9,0,0,0,0,0,0,0
1,59,Male,35,0,Assault,1 to 3,0,0,1,0,0,0,0
1,277,Male,44,0,Intent,4 to 9,0,0,0,0,1,0,0
0,NA,Male,18,1,GBH,None,0,0,0,0,0,1,0
0,NA,Male,19,0,GBH,None,0,0,0,0,0,1,0
1,170,Male,25,0,Affray,4 to 9,1,1,0,1,0,0,0
1,140,Male,28,1,Cruelty_Child,None,1,0,1,1,1,1,0
0,NA,Female,32,0,Cruelty_Child,None,1,0,1,0,0,1,0
1,195,Male,46,0,Harassment,4 to 9,0,0,0,0,0,0,0
1,136,Male,39,0,GBH,4 to 9,0,0,0,1,1,0,0
0,NA,Male,22,0,Assault,None,1,0,0,0,0,1,1
1,112,Male,38,0,GBH,None,0,1,0,0,1,0,0
0,NA,Male,39,0,Affray,None,0,0,0,0,0,1,0
1,87,Male,18,1,Affray,1 to 3,0,0,0,0,0,0,0
1,281,Male,20,0,Intent,1 to 3,0,1,0,0,1,0,0
0,NA,Male,59,1,Affray,None,0,0,0,0,0,0,0
0,NA,Male,27,1,Assault,None,0,0,0,0,0,0,1
1,170,Male,25,1,GBH,1 to 3,1,1,1,1,0,0,0
1,140,Male,27,1,Affray,1 to 3,0,0,0,0,1,0,0
1,226,Female,61,0,Intent,4 to 9,0,1,0,0,1,0,0
0,NA,Male,20,0,Affray,4 to 9,0,0,0,0,0,0,0
1,201,Male,25,1,GBH,None,1,0,1,1,0,1,1
0,NA,Male,22,0,Affray,None,1,0,0,0,1,0,0
0,NA,Male,34,0,Affray,None,1,0,0,1,0,1,1
0,NA,Male,22,0,Affray,None,0,0,0,0,0,1,1
0,NA,Male,21,0,Affray,1 to 3,0,0,1,0,0,0,0
0,NA,Male,20,1,Affray,None,0,0,1,0,0,0,0
0,NA,Male,43,0,GBH,None,1,0,0,0,0,1,1
0,NA,Male,41,0,Affray,None,1,0,0,1,1,1,1
0,NA,Male,24,0,Affray,None,0,0,0,0,0,1,0
0,NA,Male,32,0,Cruelty_Child,None,1,0,0,0,0,0,0
0,NA,Female,30,0,Cruelty_Child,None,0,0,0,0,0,0,0
1,80,Male,53,0,Assault,4 to 9,1,0,1,0,0,0,0
1,141,Male,43,0,Affray,None,0,0,0,1,0,0,0
0,NA,Male,27,1,GBH,1 to 3,1,0,0,0,0,1,0
1,89,Male,25,1,Assault,1 to 3,1,0,0,0,0,1,0
1,166,Male,28,0,Affray,None,0,0,0,1,1,0,1
0,NA,Male,19,0,Affray,None,1,0,0,0,0,1,0
0,NA,Male,24,0,Affray,None,0,0,0,0,0,0,1
1,108,Male,47,0,Affray,1 to 3,0,0,0,0,1,0,0
1,227,Male,32,0,Intent,1 to 3,0,0,0,0,1,0,0
0,NA,Male,19,0,Affray,None,0,0,0,0,1,1,1
1,51,Male,20,0,Assault,1 to 3,1,0,0,1,1,0,0
0,NA,Male,55,0,Affray,None,0,0,0,0,0,0,0
0,NA,Male,26,0,GBH,None,1,0,0,0,0,1,1
0,NA,Male,23,0,Harassment,1 to 3,0,0,1,0,0,0,0
1,171,Male,25,1,GBH,None,1,0,0,1,0,1,1
1,168,Male,19,0,Intent,1 to 3,1,0,0,0,1,0,0
0,NA,Male,22,0,GBH,None,1,1,0,0,0,1,1
1,108,Male,33,0,Affray,None,1,0,1,1,1,0,1
0,NA,Male,48,0,Harassment,None,0,0,0,0,0,0,0
0,NA,Male,34,0,Harassment,None,0,0,0,0,0,0,0
0,NA,Male,22,0,GBH,None,0,0,0,0,1,0,0
0,NA,Female,22,0,Assault,None,0,0,0,0,0,1,1
0,NA,Female,43,1,Affray,None,0,0,0,0,0,1,1
0,NA,Male,19,1,Affray,None,0,0,0,0,0,0,0
0,NA,Male,20,0,Affray,None,0,0,0,0,1,1,1
0,NA,Male,32,0,Affray,None,0,0,0,1,0,1,0
1,252,Male,18,0,Intent,None,1,1,0,0,0,1,1
0,NA,Male,32,0,Assault,None,0,1,0,0,0,0,1
0,NA,Male,46,0,GBH,None,1,0,0,0,0,1,0
0,NA,Female,23,0,Affray,None,1,0,0,0,1,1,0
1,116,Male,32,1,Affray,None,1,0,0,0,1,0,0
0,NA,Male,29,0,Affray,None,0,0,0,0,0,1,1
1,26,Male,40,0,Assault,4 to 9,1,0,0,0,0,0,0
0,NA,Male,28,0,Affray,None,1,0,1,0,1,1,1
0,NA,Male,19,0,Assault,None,1,0,0,0,0,1,1
0,NA,Male,31,1,Harassment,1 to 3,0,0,0,0,0,0,0
1,55,Male,18,0,Affray,1 to 3,1,0,0,0,1,0,0
1,80,Male,26,0,Affray,4 to 9,0,0,1,1,0,0,0
0,NA,Male,20,0,Affray,None,1,0,0,1,0,0,0
1,57,Male,20,0,Affray,1 to 3,1,1,0,0,0,1,0
1,142,Male,40,1,GBH,None,1,0,0,0,1,1,0
1,107,Male,20,1,Affray,None,0,0,0,1,0,0,0
0,NA,Male,19,0,GBH,None,1,1,0,0,0,1,1
0,NA,Male,29,0,GBH,None,1,1,0,0,0,1,1
0,NA,Male,33,1,Affray,None,1,1,0,0,1,1,1
0,NA,Male,21,0,Affray,None,0,0,0,0,0,1,1
0,NA,Male,20,0,Affray,1 to 3,0,0,0,0,0,1,0
0,NA,Male,37,0,Assault,4 to 9,1,0,0,0,0,0,0
0,NA,Male,32,0,Assault,None,0,1,0,0,1,1,0
1,57,Male,18,0,Affray,1 to 3,1,0,0,0,1,1,0
1,170,Male,24,0,Affray,None,1,0,0,0,0,1,0
1,107,Male,20,0,Affray,1 to 3,1,1,1,0,0,1,0
1,32,Male,40,0,Harassment,None,0,0,0,0,0,1,0
0,NA,Female,40,1,Assault,4 to 9,0,0,0,0,0,0,0
1,173,Male,25,0,GBH,1 to 3,0,0,0,0,1,0,0
0,NA,Male,25,1,Assault,1 to 3,0,0,0,0,0,1,0
1,173,Male,18,0,Affray,None,1,0,0,0,1,1,0
1,136,Male,24,1,Assault,None,0,0,0,1,0,0,0
1,195,Male,31,0,GBH,1 to 3,0,0,0,0,0,0,0
0,NA,Male,21,0,Affray,1 to 3,1,0,0,0,1,0,0
0,NA,Male,22,0,Affray,None,1,0,0,0,1,0,1
0,NA,Female,35,0,Harassment,None,0,0,0,0,0,0,0
0,NA,Male,33,0,Affray,None,1,0,0,0,1,1,0
1,32,Male,18,0,Affray,None,1,0,0,0,1,1,0
0,NA,Female,41,1,Affray,None,1,0,0,0,1,1,1
0,NA,Male,18,0,Affray,None,1,0,0,0,0,0,0
0,NA,Male,32,0,Affray,None,1,0,0,0,1,1,0
1,171,Male,41,0,GBH,None,1,1,0,1,1,0,0
0,NA,Male,33,0,GBH,None,1,0,0,1,1,0,0
0,NA,Male,24,0,Affray,None,0,0,0,0,0,1,1
0,NA,Male,22,0,Affray,None,0,0,0,0,0,1,0
1,168,Male,30,0,GBH,1 to 3,0,1,0,0,0,1,0
1,31,Male,49,1,Assault,None,1,1,0,0,0,0,0
0,NA,Female,61,0,Affray,None,0,0,0,0,0,0,1
0,NA,Female,24,0,Affray,None,0,0,0,0,0,0,0
1,166,Male,18,1,GBH,4 to 9,0,0,0,0,1,0,0
1,164,Male,47,0,GBH,1 to 3,1,0,0,0,0,0,0
1,81,Female,41,1,Affray,1 to 3,0,0,0,1,0,0,0
0,NA,Male,31,0,Affray,None,1,0,0,0,0,1,1
0,NA,Male,29,0,Affray,None,0,0,0,0,0,0,0
